Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc
1|2022-05-14 04:59:04,841927|30,130772160920248|-134,66429558987582|45,41|21,17|9,53|3,26|3,12|343,058|58,155|6,762|0,018|0,043|0,027
2|2022-05-14 04:59:15,378018|30,60683079513631|-134,14174295291116|45,11|20,35|28,19|9,64|9,8|343,441|57,31|6,323|0,014|0,041|0,026
3|2022-05-14 04:59:25,942510|31,081605041353768|-133,61225539187046|45,5|20,03|37,66|13,12|13,45|343,225|56,679|6,653|0,016|0,042|0,025
4|2022-05-14 04:59:36,494934|31,553246256776582|-133,07766436498838|44,75|21,15|42,5|15,05|15,56|345,985|59,136|7,878|0,015|0,042|0,026
5|2022-05-14 04:59:47,043976|32,022067267897086|-132,53741807938596|45,64|20,95|44,74|15,91|16,47|346,29|59,55|7,562|0,02|0,042|0,026
6|2022-05-14 04:59:57,603760|32,48862514211857|-131,9906442033715|45,04|20,63|46,23|16,19|17,8|347,32|60,455|8,443|0,014|0,043|0,025
7|2022-05-14 05:00:08,147489|32,95163953257777|-131,4386252568447|44,81|19,49|47,03|16,39|18,36|347,135|61,299|7,679|0,02|0,042|0,026
8|2022-05-14 05:00:18,697250|33,41203094225932|-130,8800474560366|45,11|20,86|47,19|16,5|18,3|345,51|61,133|9,071|0,017|0,041|0,025
9|2022-05-14 05:00:29,256939|33,869899249699955|-130,31453102514308|44,82|20,64|47,47|16,25|18,44|346,048|62,758|9,448|0,021|0,042|0,026
10|2022-05-14 05:00:39,817602|34,32470584208229|-129,74248538897913|45,57|20,72|47,46|16,31|18,69|346,392|63,43|9,478|0,018|0,041|0,025
11|2022-05-14 05:00:50,374070|34,77614655819095|-129,16405480948578|45,59|21,2|47,53|16,42|19,44|346,44|63,095|10,667|0,022|0,041|0,025
12|2022-05-14 05:01:00,927285|35,22423504532435|-128,5789831596952|45,23|19,82|47,49|16,19|19,48|346,969|63,837|9,316|0,02|0,041|0,028
13|2022-05-14 05:01:11,481927|35,66905817579543|-127,98690354884243|45,68|20,74|47,28|16,37|19,9|347,424|64,237|10,234|0,019|0,041|0,029
