Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|MagMod|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc
1|59:04.8|30.13077216|-134.6642956|45.41|21.17|9.53|3.26|3.12|10.54|343.058|58.155|6.762|0.018|0.043|0.027
2|59:15.4|30.6068308|-134.141743|45.11|20.35|28.19|9.64|9.8|31.36|343.441|57.31|6.323|0.014|0.041|0.026
3|59:25.9|31.08160504|-133.6122554|45.5|20.03|37.66|13.12|13.45|42.09|343.225|56.679|6.653|0.016|0.042|0.025
4|59:36.5|31.55324626|-133.0776644|44.75|21.15|42.5|15.05|15.56|47.70|345.985|59.136|7.878|0.015|0.042|0.026
5|59:47.0|32.02206727|-132.5374181|45.64|20.95|44.74|15.91|16.47|50.26|346.29|59.55|7.562|0.02|0.042|0.026
6|59:57.6|32.48862514|-131.9906442|45.04|20.63|46.23|16.19|17.8|52.12|347.32|60.455|8.443|0.014|0.043|0.025
7|00:08.1|32.95163953|-131.4386253|44.81|19.49|47.03|16.39|18.36|53.08|347.135|61.299|7.679|0.02|0.042|0.026
8|00:18.7|33.41203094|-130.8800475|45.11|20.86|47.19|16.5|18.3|53.24|345.51|61.133|9.071|0.017|0.041|0.025
9|00:29.3|33.86989925|-130.314531|44.82|20.64|47.47|16.25|18.44|53.46|346.048|62.758|9.448|0.021|0.042|0.026
10|00:39.8|34.32470584|-129.7424854|45.57|20.72|47.46|16.31|18.69|53.55|346.392|63.43|9.478|0.018|0.041|0.025
11|00:50.4|34.77614656|-129.1640548|45.59|21.2|47.53|16.42|19.44|53.91|346.44|63.095|10.667|0.022|0.041|0.025
12|01:00.9|35.22423505|-128.5789832|45.23|19.82|47.49|16.19|19.48|53.82|346.969|63.837|9.316|0.02|0.041|0.028
13|01:11.5|35.66905818|-127.9869035|45.68|20.74|47.28|16.37|19.9|53.85|347.424|64.237|10.234|0.019|0.041|0.029
